url,name,desc
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: IT - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora IT.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Motoryzacyjny - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora motoryzacyjnego.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Opieka zdrowotna i pomoc społeczna - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP z sektora opieki zdrowotnej i pomocy społecznej.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Odzysk materiałowy surowców - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora odzysku materiałowego surowców.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Żywność wysokiej jakości - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora żywności wysokiej jakości.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Komunikacja marketingowa - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP z sektora komunikacji marketingowej.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Telekomunikacja i cyberbezpieczeństwo - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP z sektora telekomunikacji i cyberbezpieczeństwa.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Gospodarka wodno-ściekowa i rekultywacja - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP z sektora gospodarki wodno-ściekowej i rekultywacji.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Chemiczny - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora chemicznego.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Lotniczo-kosmiczny - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora lotniczno-kosmicznego.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Handel - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP z sektora handlu.
https://www.parp.gov.pl/component/site/site/formularz-kontaktowy-kompetencje-dla-sektorow-covid,Operator sektora: Usługi rozwojowe - Kompetencje dla sektorów zadanie Covid-19,Wzrost kompetencji pracowników MŚP z sektora usług rozwojowych.
https://www.parp.gov.pl/component/site/site/akademia-menadzera-msp-formularz-1,Akademia Menadżera MŚP II,Szkolenia i doradztwo dla przedsiębiorców
https://www.parp.gov.pl/component/site/site/akademia-menadzera-msp-formularz,Akademia Menadżera MŚP I,Szkolenia i doradztwo dla przedsiębiorców
https://www.parp.gov.pl/component/site/site/bur-psf-zachodniopomorskie,Podmiotowy System Finansowania w woj. zachodnio-pomorskim,
https://www.parp.gov.pl/component/site/site/bur-psf-wielkopolskie,Podmiotowy System Finansowania w woj. wielkopolskim,
